freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.91380615		1959.51024279		1972.42461801		2015.44227626		2029.51957536		2042.88647648		2090.10245141		2104.67277974		2118.53885723		2170.47601095		2185.59520259		2199.98842025		2257.26504125		2272.98774874		2287.93423503		2351.23812187		2367.60122879		2383.16157147		2453.36452113		2470.37878144	
1945.92013214		1959.51628178		1972.43035500		2015.44882425		2029.52582735		2042.89241347		2090.10923640		2104.67925873		2118.54501022		2170.48305094		2185.60192658		2199.99480624		2257.27235625		2272.99473573		2287.94087302		2351.24573586		2367.60850278		2383.16847746		2453.37246011		2470.38636443	
1945.92645713		1959.52232177		1972.43609099		2015.45537124		2029.53207834		2042.89835146		2090.11602139		2104.68573772		2118.55116221		2170.49009193		2185.60864956		2200.00119223		2257.27967123		2273.00172272		2287.94751001		2351.25335085		2367.61577677		2383.17538345		2453.38039810		2470.39394641	
1945.93278212	0.71466354	1959.52836076		1972.44182698		2015.46191923		2029.53832933		2042.90428845		2090.12280639		2104.69221671		2118.55731420		2170.49713292		2185.61537255		2200.00757722		2257.28698723		2273.00870971		2287.95414800		2351.26096484		2367.62304976		2383.18228845		2453.38833609		2470.40152840	
1945.93910711	0.92580567	1959.53439975		1972.44756197	0.93483724	2015.46846722	0.86817705	2029.54458032		2042.91022444		2090.12959138		2104.69869470		2118.56346619		2170.50417291		2185.62209554		2200.01396221		2257.29430122		2273.01569669		2287.96078499		2351.26857882		2367.63032374		2383.18919443		2453.39627407		2470.40911039	
1945.94543210	0.94492405	1959.54043974	1.16588208	1972.45329796	0.87203146	2015.47501421	0.90446043	2029.55083131	0.99619592	2042.91616143		2090.13637636		2104.70517369		2118.56961818		2170.51121389		2185.62881753		2200.02034820		2257.30161619		2273.02268268		2287.96742198		2351.27619281		2367.63759673		2383.19609941		2453.40421106		2470.41669238	
1945.95175709	0.94418052	1959.54647873	1.16568500	1972.45903395	0.91326931	2015.48156220	0.92075755	2029.55708230	0.97632130	2042.92209842	0.95419575	2090.14316034	0.96148004	2104.71165168		2118.57577017		2170.51825388		2185.63554052		2200.02673319		2257.30893119		2273.02966967		2287.97405797		2351.28380680		2367.64486972		2383.20300441		2453.41214905		2470.42427336	
1945.95808208	0.96388730	1959.55251772	1.10687759	1972.46476894	0.93665313	2015.48810918	0.91609234	2029.56333329	1.00091785	2042.92803441	1.02891322	2090.14994533	0.99813453	2104.71812967		2118.58192216		2170.52529387		2185.64226251		2200.03311718		2257.31624618		2273.03665566		2287.98069496		2351.29142078		2367.65214271		2383.20990939		2453.42008603		2470.43185535	
1945.96440707	1.00698384	1959.55855571	1.15206533	1972.47050393	0.91214288	2015.49465617	0.89953692	2029.56958428	0.98339840	2042.93397040	0.98999514	2090.15672932	0.99012374	2104.72460765		2118.58807315		2170.53233386		2185.64898550		2200.03950217		2257.32356017		2273.04364165		2287.98733094		2351.29903477		2367.65941570		2383.21681339		2453.42802402		2470.43943634	
1945.97073106	1.01324716	1959.56459470	1.14968719	1972.47623892	0.92462026	2015.50120316	0.93564857	2029.57583427	0.96484840	2042.93990639	1.00154842	2090.16351332	0.99757832	2104.73108564	0.97625303	2118.59422414	1.05718591	2170.53937285	1.02676667	2185.65570749		2200.04588616		2257.33087414		2273.05062764		2287.99396793		2351.30664776		2367.66668868		2383.22371837		2453.43596101		2470.44701732	
1945.97705605	1.02484842	1959.57063269	1.15420387	1972.48197391	0.94557569	2015.50775015	0.96112412	2029.58208426	0.97580106	2042.94584238	0.97591764	2090.17029730	0.96472248	2104.73756363	0.96884079	2118.60037613	0.98693981	2170.54641284	1.01967491	2185.66242947		2200.05227114		2257.33818813		2273.05761362		2288.00060392		2351.31426075		2367.67396067		2383.23062237		2453.44389799		2470.45459831	
1945.98338004	1.07338938	1959.57667168	1.11336452	1972.48770890	0.90601153	2015.51429614	0.95135451	2029.58833425	0.96509152	2042.95177837	1.02105071	2090.17708129	0.99411602	2104.74404062	0.99161529	2118.60652712	0.94667798	2170.55345282	1.01259001	2185.66915046		2200.05865513		2257.34550212	1.00152067	2273.06459961		2288.00723991		2351.32187373		2367.68123366		2383.23752635		2453.45183498		2470.46217930	
