freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.92312823		1959.51743122		1972.43165860		2015.44669336		2029.53051505		2042.89936723		2090.12142288		2104.70988053		2118.57035189		2170.50006976		2185.62457177		2200.01899796		2257.30297532		2273.03334864		2287.98302779		2351.28730377		2367.65510078		2383.22186901		2453.40761702		2470.45952067	
1945.92945323		1959.52347022		1972.43739460		2015.45324036		2029.53676605		2042.90530323		2090.12820688		2104.71635853		2118.57649189		2170.50710876		2185.63127977		2200.02538296		2257.31028932		2273.04033464		2287.98966379		2351.29491977		2367.66237378		2383.22877302		2453.41555402		2470.46709967	
1945.93577723	1.86285184	1959.52950922		1972.44313060		2015.45978736		2029.54301605		2042.91124023		2090.13499088		2104.72283553		2118.58263089		2170.51414676		2185.63798677		2200.03176696		2257.31760332		2273.04732064		2287.99629979		2351.30253576		2367.66964578		2383.23567801		2453.42349102		2470.47467967	
1945.94210223	0.94643775	1959.53554822		1972.44886560		2015.46633436		2029.54926705		2042.91717623		2090.14177388		2104.72931353		2118.58876989		2170.52118576		2185.64469477		2200.03815096		2257.32491732		2273.05430564		2288.00293579		2351.31015176		2367.67691778		2383.24258202		2453.43142702		2470.48225867	
1945.94842623	0.94180195	1959.54158722	1.06040548	1972.45460160	0.89829916	2015.47288136	0.91007488	2029.55551705	0.98904732	2042.92311323	0.98394755	2090.14855788	0.97642537	2104.73579053	0.96134553	2118.59490889	0.99896046	2170.52822376		2185.65140177		2200.04453496		2257.33223032		2273.06129064		2288.00957079		2351.31776777		2367.68419078		2383.24948602		2453.43936302		2470.48983767	
1945.95475123	0.94703448	1959.54762522	1.07040675	1972.46033660	0.90706487	2015.47942836	0.92163160	2029.56176705	0.98836150	2042.92904923	0.97831544	2090.15534088	0.97441411	2104.74226753	0.96747193	2118.60104789	0.99672972	2170.53526176		2185.65810877		2200.05091896		2257.33954332		2273.06827564		2288.01620579		2351.32538376		2367.69146178		2383.25638901		2453.44729902		2470.49741667	
1945.96107523	0.97650717	1959.55366422	1.05748023	1972.46607160	0.91507759	2015.48597436	0.92920068	2029.56801705	0.98554830	2042.93498523	0.98163174	2090.16212388	0.97886579	2104.74874553	0.96868147	2118.60718689	0.99090111	2170.54229976	1.01595357	2185.66481677		2200.05730296		2257.34685632	1.00996389	2273.07526064		2288.02284179		2351.33299976		2367.69873378		2383.26329301		2453.45523502		2470.50499567	
1945.96739923	0.98972094	1959.55970222	1.05436958	1972.47180660	0.91456861	2015.49252136	0.93582859	2029.57426605	0.99094548	2042.94092023	0.98042298	2090.16890688	0.98083581	2104.75522253	0.96637684	2118.61332589	0.99514476	2170.54933776	1.00506177	2185.67152377		2200.06368596		2257.35416932	1.00184776	2273.08224564	0.99945610	2288.02947679		2351.34061476		2367.70600578		2383.27019601		2453.46317102		2470.51257467	
1945.97372323	1.01418718	1959.56574022	1.05187943	1972.47754160	0.92531980	2015.49906736	0.93802371	2029.58051605	0.98695885	2042.94685623	0.97974514	2090.17568988	0.97875517	2104.76169853	0.97060782	2118.61946389	0.99396289	2170.55637576	1.00381242	2185.67822977	0.99062775	2200.07006996	0.99700241	2257.36148232	0.99085289	2273.08923064	0.99605032	2288.03611179	1.00857525	2351.34823077		2367.71327678		2383.27710002		2453.47110602	0.99617272	2470.52015267	
1945.98004623	1.04070484	1959.57177822	1.05087574	1972.48327660	0.92798112	2015.50561336	0.94718322	2029.58676505	0.98309600	2042.95279223	0.98262096	2090.18247288	0.98238985	2104.76817553	0.97360510	2118.62560189	0.99245806	2170.56341376	1.01526586	2185.68493677	0.99495210	2200.07645296	1.01074559	2257.36879532	1.00169816	2273.09621464	0.99278736	2288.04274579	0.99298982	2351.35584577	1.05341757	2367.72054878		2383.28400302		2453.47904202	0.99402534	2470.52773167	1.04175855
