freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.90598214		1959.50956667		1972.42560667		2015.44191800		2029.52278433		2042.89027700		2090.10573986		2104.69227135		2118.52113972		2170.47906488		2185.52213955		2200.01248723		2257.29485826		2273.02099535		2287.97272976		2351.28338225		2367.65079274		2383.21261582		2453.39574491		2470.44692568	
1945.91230912		1959.51560666		1972.43134466		2015.44846699		2029.52903732		2042.89621499		2090.11252584		2104.69875134		2118.52729371		2170.48610587		2185.52886454		2200.01887322		2257.30217525		2273.02798433		2287.97936875		2351.29099824		2367.65806873		2383.21952380		2453.40368590		2470.45450867	
1945.91863511		1959.52164665		1972.43708165		2015.45501598		2029.53528931		2042.90215298		2090.11931183		2104.70523133		2118.53344770		2170.49314785		2185.53558853		2200.02526021		2257.30949124		2273.03497332		2287.98600774		2351.29861421		2367.66534472		2383.22643079		2453.41162589		2470.46209166	
1945.92496110		1959.52768664		1972.44281864		2015.46156397		2029.54154130		2042.90809097		2090.12609782		2104.71171132		2118.53960169		2170.50018884		2185.54231351		2200.03164720		2257.31680823		2273.04196231		2287.99264673		2351.30623020		2367.67261970		2383.23333878		2453.41956587		2470.46967565	
1945.93128709	1.41473008	1959.53372663		1972.44855563	0.88568487	2015.46811296	0.94212821	2029.54779329	1.02087327	2042.91402896		2090.13288381		2104.71819130		2118.54575568		2170.50722983		2185.54903750		2200.03803319		2257.32412422		2273.04895030		2287.99928471		2351.31384620		2367.67989569		2383.24024677		2453.42750586		2470.47725863	
1945.93761308	0.89070855	1959.53976662	1.20156800	1972.45429262	0.93853439	2015.47466095	0.95027902	2029.55404428	1.04823160	2042.91996695	1.01561220	2090.13966980	0.97972781	2104.72467129		2118.55190967		2170.51427182		2185.55576149		2200.04442018		2257.33144120		2273.05593829		2288.00592370		2351.32146217		2367.68717068		2383.24715376		2453.43544585		2470.48484162	
1945.94393907	0.89637193	1959.54580661	1.12797561	1972.46002961	0.90092177	2015.48120994	0.96078665	2029.56029626	1.03269928	2042.92590394	0.99807663	2090.14645479	0.94343726	2104.73115028	0.94458168	2118.55806266		2170.52131281		2185.56248548		2200.05080617		2257.33875719		2273.06292728		2288.01256169		2351.32907816		2367.69444567		2383.25406075		2453.44338583		2470.49242361	
1945.95026506	0.86429532	1959.55184660	1.16052951	1972.46576560	0.93093744	2015.48775793	0.96189646	2029.56654725	1.02623175	2042.93184193	1.01235187	2090.15324078	0.96024985	2104.73762927	0.96064466	2118.56421665		2170.52835280		2185.56920947		2200.05719216		2257.34607318	0.99236296	2273.06991526		2288.01919968		2351.33669315		2367.70172066		2383.26096774		2453.45132482		2470.50000660	
1945.95659105	0.96117944	1959.55788559	1.15774164	1972.47150159	0.90673575	2015.49430591	0.94447726	2029.57279924	0.99689090	2042.93777892	0.98983990	2090.16002577	0.98305300	2104.74410826	0.97730507	2118.57036964		2170.53539378	1.00350049	2185.57593346		2200.06357815	0.99417303	2257.35338917	0.97205134	2273.07690225	1.00031053	2288.02583767		2351.34430915		2367.70899564		2383.26787472		2453.45926481		2470.50758858	
1945.96291604	0.98645462	1959.56392558	1.15859900	1972.47723858	0.90646660	2015.50085290	0.94438819	2029.57905023	0.99799520	2042.94371591	0.99392006	2090.16681075	0.99989288	2104.75058725	0.98325508	2118.57652263		2170.54243477	1.01594390	2185.58265645		2200.06996314	0.97633442	2257.36070515	0.97249832	2273.08389024	0.99841568	2288.03247566	1.02500651	2351.35192413	1.09142909	2367.71626963		2383.27478171		2453.46720379	1.01044908	2470.51517057	
1945.96924203	0.97939678	1959.56996457	1.10606207	1972.48297457	0.96262655	2015.50740089	0.95761444	2029.58530122	0.99350628	2042.94965390	1.00831517	2090.17359574	0.98239651	2104.75706624	0.98453773	2118.58267562		2170.54947476	0.99414987	2185.58937944		2200.07634912	0.99076769	2257.36802014	0.99468344	2273.09087823	0.95229015	2288.03911365	0.97347070	2351.35953912	1.07317802	2367.72354462	1.14955128	2383.28168770		2453.47514278	0.94807848	2470.52275256	1.05746789
1945.97556702	1.00428720	1959.57600356	1.11925885	1972.48871056	0.89778325	2015.51394888	0.98675686	2029.59155221	0.98438812	2042.95558989	0.98281413	2090.18038073	0.97414959	2104.76354523	0.95659453	2118.58882761		2170.55651475	1.00566399	2185.59610343		2200.08273411	0.98681510	2257.37533613	1.01136689	2273.09786522	0.98430437	2288.04575064	1.01186887	2351.36715411	1.08382113	2367.73081861	1.18940441	2383.28859369	0.96854183	2453.48308177	1.04634821	2470.53033455	0.92669917
1945.98189201	1.02978816	1959.58204255	1.09657311	1972.49444555	0.89844094	2015.52049587	0.99750860	2029.59780220	1.00949095	2042.96152688	0.98945416	2090.18716572	0.97468405	2104.77002422	0.98978166	2118.59498060	1.00849552	2170.56355474	1.03588433	2185.60282641		2200.08911910	1.00472335	2257.38265112	0.99166554	2273.10485221	1.00163910	2288.05238863	1.00056168	2351.37476910	1.03681325	2367.73809259	1.19909956	2383.29550068	0.98924236	2453.49101975	1.02396383	2470.53791653	0.97387936
1945.98821700	1.03428021	1959.58808154	1.12778018	1972.50018154	0.91817254	2015.52704386	0.96849988	2029.60405319	0.98841822	2042.96746387	1.02391600	2090.19395071	0.97976554	2104.77650221	0.97369207	2118.60113359	0.99752468	2170.57059472	1.00318646	2185.60954940		2200.09550409	0.96990651	2257.38996611	0.96935155	2273.11183919	0.97083365	2288.05902562	1.00958788	2351.38238308	1.08791397	2367.74536658	1.14912253	2383.30240667	0.93168193	2453.49895874	0.99721289	2470.54549752	1.00259551
1945.99454199	1.07587702	1959.59411953	1.05474748	1972.50591753	0.92273044	2015.53359085	1.00463222	2029.61030318	0.99921917	2042.97339986	0.99554774	2090.20073470	0.98837615	2104.78298020	0.98182738	2118.60728558	0.99471521	2170.57763471	1.01714087	2185.61627139		2200.10188908	0.96647072	2257.39728109	0.99913237	2273.11882618	0.95752588	2288.06566260	1.00354448	2351.38999807	1.01437213	2367.75264057	1.14300653	2383.30931165	1.00034139	2453.50689673	1.04745498	2470.55307951	1.02896766
1946.00086698	1.10468956	1959.60015852	1.09410891	1972.51165252	0.93589334	2015.54013784	1.03535176	2029.61655417	0.99903484	2042.97933585	0.97912253	2090.20751969	0.96014889	2104.78945819	0.99558442	2118.61343757	0.99505646	2170.58467470	1.02033526	2185.62299438		2200.10827407	0.98297303	2257.40459608	0.98994807	2273.12581317	1.02994179	2288.07229959	0.95827823	2351.39761205	1.06301194	2367.75991456	1.08326821	2383.31621764	0.95856731	2453.51483571	0.97279013	2470.56066049	0.97328067
1946.00719097	1.12708631	1959.60619651	1.08887267	1972.51738751	0.93929511	2015.54668483	1.01580065	2029.62280416	1.03082316	2042.98527284	0.97461094	2090.21430367	0.99873561	2104.79593618	0.97001613	2118.61958956	0.99630928	2170.59171469	0.99260797	2185.62971737		2200.11465806	0.98175553	2257.41191107	1.01619629	2273.13280016	0.97772812	2288.07893658	1.01955179	2351.40522603	1.03360588	2367.76718755	1.09657741	2383.32312263	0.94305294	2453.52277370	0.89983795	2470.56824148	1.00003588
1946.01351596	1.07467026	1959.61223450	1.05618106	1972.52312250	0.93449770	2015.55323182	1.02811462	2029.62905415	0.99573154	2042.99120883	0.98647129	2090.22108766	0.99162044	2104.80241416	0.98041374	2118.62574155	0.96065481	2170.59875368	1.02611761	2185.63643936		2200.12104305	0.99057230	2257.41922606	1.00964726	2273.13978615	0.96187100	2288.08557257	0.99678952	2351.41284003	1.00023733	2367.77446153	1.05646591	2383.33002862	0.96597860	2453.53071169	0.99657687	2470.57582247	0.96845349
1946.01983995	1.18023546	1959.61827349	1.06619774	1972.52885749	0.94623539	2015.55977781	1.01168072	2029.63530414	0.99293727	2042.99714382	0.98292620	2090.22787165	0.99408704	2104.80889215	0.98386825	2118.63189354	0.96161460	2170.60579267	1.01551831	2185.64316135		2200.12742704	0.99337678	2257.42654004	1.03444575	2273.14677314	0.97372695	2288.09220856	1.00238135	2351.42045402	1.00362624	2367.78173452	1.08852408	2383.33693361	0.96819578	2453.53864867	0.97173927	2470.58340246	1.00421485
1946.02616394	1.15759986	1959.62431148	1.07620274	1972.53459248	0.94500722	2015.56632479	1.01992790	2029.64155413	1.00372452	2043.00307981	0.96827796	2090.23465564	0.97373790	2104.81537014	1.00293299	2118.63804453	0.97668506	2170.61283265	0.99624235	2185.64988334		2200.13381103	0.94761218	2257.43385403	1.01970769	2273.15375912	0.99324893	2288.09884555	0.98615974	2351.42806800	0.99730571	2367.78900751	1.11632172	2383.34383860	0.96217920	2453.54658666	0.94540726	2470.59098344	0.92764661
