freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.90413290		1959.50719906		1972.41855422		2015.44170684		2029.52357173		2042.89109595		2090.11512714		2104.69118966		2118.54657303		2170.42621350		2185.61053816		2199.99989677		2257.29417127		2273.02148625		2287.96945892		2351.28301870		2367.64783373		2383.20930616		2453.40745676		2470.44545056	
1945.91045989		1959.51324005		1972.42429121		2015.44825583		2029.52982372		2042.89703494		2090.12191413		2104.69766965		2118.55272802		2170.43325648		2185.61726215		2200.00628376		2257.30148925		2273.02847523		2287.97609891		2351.29063569		2367.65510970		2383.21621415		2453.41539675		2470.45303454	
1945.91678688		1959.51928004		1972.43002820		2015.45480482		2029.53607671		2042.90297293		2090.12870012		2104.70415064		2118.55888201		2170.44029947		2185.62398714		2200.01267075		2257.30880724		2273.03546422		2287.98273790		2351.29825267		2367.66238569		2383.22312214		2453.42333574		2470.46061953	
1945.92311287		1959.52532003		1972.43576619		2015.46135381		2029.54232869		2042.90891092		2090.13548711		2104.71063063		2118.56503600		2170.44734246		2185.63071113		2200.01905774		2257.31612423		2273.04245421		2287.98937689		2351.30586966		2367.66966169		2383.23003013		2453.43127572		2470.46820352	
1945.92943986		1959.53136002		1972.44150318		2015.46790280	0.88575353	2029.54858068	0.86836549	2042.91484791		2090.14227310	0.95775841	2104.71711062		2118.57118999		2170.45438445		2185.63743512		2200.02544373		2257.32344122		2273.04944320		2287.99601588		2351.31348565		2367.67693767		2383.23693812		2453.43921471		2470.47578751	
1945.93576585	0.96054466	1959.53740001	1.26750506	1972.44723917	0.76729804	2015.47445179	0.92330287	2029.55483267	0.89277426	2042.92078590	0.93189083	2090.14906008	0.96730720	2104.72359061		2118.57734398		2170.46142644		2185.64416010		2200.03182972		2257.33075820		2273.05643119		2288.00265487		2351.32110264		2367.68421366		2383.24384610		2453.44715370		2470.48337149	
1945.94209184	0.92251801	1959.54344000	1.26217151	1972.45297616	0.78438985	2015.48099978	0.88216129	2029.56108466	0.89269714	2042.92672289	0.92072866	2090.15584607	0.97746829	2104.73007060	0.91735891	2118.58349697		2170.46846843		2185.65088409		2200.03821571		2257.33807519		2273.06342018		2288.00929286		2351.32871862		2367.69148865		2383.25075409		2453.45509268		2470.49095548	
1945.94841782	0.96762786	1959.54947899	1.26495824	1972.45871315	0.73935811	2015.48754877	0.91025285	2029.56733665	0.89164894	2042.93266088	0.93561449	2090.16263206	0.96925130	2104.73654958	0.91058954	2118.58965096		2170.47551041		2185.65760708		2200.04460170		2257.34539218	1.04085006	2273.07040816		2288.01593185		2351.33633461		2367.69876463		2383.25766108		2453.46303167		2470.49853947	
1945.95474381	0.96462748	1959.55551898	1.23732437	1972.46444914	0.78772929	2015.49409675	0.93110841	2029.57358764	0.91913739	2042.93859787	0.92560861	2090.16941805	0.98180390	2104.74302957	0.92604900	2118.59580395	0.97497063	2170.48255240		2185.66433107		2200.05098769		2257.35270917	1.02227736	2273.07739715	0.98210985	2288.02256984		2351.34395160		2367.70603962		2383.26456807		2453.47096966	0.81073656	2470.50612246	
1945.96106980	1.01050971	1959.56155797	1.17585507	1972.47018513	0.78759530	2015.50064474	0.92229946	2029.57983963	0.92658838	2042.94453486	0.92746369	2090.17620404	0.96000069	2104.74950855	0.93001070	2118.60195694	0.95332071	2170.48959439		2185.67105506		2200.05737368		2257.36002516	0.99850000	2273.08438514	1.01882787	2288.02920782		2351.35156658	1.12987247	2367.71331461		2383.27147506		2453.47890864	1.03832405	2470.51370644	
1945.96739479	0.99781012	1959.56759696	1.20357849	1972.47592112	0.80975404	2015.50719273	0.92626470	2029.58609062	0.89767298	2042.95047185	0.91931923	2090.18298903	0.99352280	2104.75598854	0.89667183	2118.60810993	1.00071684	2170.49663638		2185.67777805	0.97653935	2200.06375867	1.04499667	2257.36734214	1.00416952	2273.09137313	0.97855901	2288.03584581	0.99214140	2351.35918257	1.06331855	2367.72058960	1.23337989	2383.27838205		2453.48684663	0.92732775	2470.52128943	
1945.97372078	1.00559880	1959.57363595	1.13279983	1972.48165711	0.80151047	2015.51374072	0.95141278	2029.59234161	0.88565573	2042.95640884	0.94714964	2090.18977502	0.95439985	2104.76246753	0.92350598	2118.61426292	0.95591543	2170.50367737		2185.68450104	0.98778420	2200.07014465	1.04422629	2257.37465813	1.02247229	2273.09836112	0.98316882	2288.04248380	0.97267692	2351.36679856	1.05369641	2367.72786358	1.21165874	2383.28528903		2453.49478462	0.95637145	2470.52887242	1.05850175
1945.98004577	1.06722484	1959.57967494	1.15489078	1972.48739310	0.81840466	2015.52028871	0.95818984	2029.59859360	0.90282282	2042.96234483	0.95801639	2090.19656000	0.98800924	2104.76894653	0.93024235	2118.62041591	0.92360902	2170.51071835		2185.69122403	0.97038931	2200.07652964	1.03328131	2257.38197412	1.03751038	2273.10534911	1.01225336	2288.04912179	1.00823171	2351.37441355	1.02989677	2367.73513858	1.16553346	2383.29219502	1.06249129	2453.50272260	0.98652885	2470.53645541	1.08518148
1945.98637076	1.03904337	1959.58571393	1.17921538	1972.49312909	0.86064139	2015.52683670	0.95516737	2029.60484359	0.89804426	2042.96828182	0.92799097	2090.20334599	0.96624760	2104.77542451	0.95039205	2118.62656890	0.95909207	2170.51776034		2185.69794702	0.97883591	2200.08291463	1.03343689	2257.38929011	0.99909685	2273.11233609	0.96624767	2288.05575878	1.02000375	2351.38202953	1.07066319	2367.74241256	1.18213602	2383.29910201	1.06997040	2453.51066059	1.00812674	2470.54403739	1.01346510
1945.99269675	1.05525754	1959.59175292	1.14859590	1972.49886508	0.86939303	2015.53338369	0.96743156	2029.61109458	0.92006969	2042.97421781	0.95677983	2090.21013098	0.97136920	2104.78190351	0.93161900	2118.63272089	0.98499875	2170.52480133		2185.70467000	0.95546501	2200.08929962	1.04435773	2257.39660609	1.01919495	2273.11932408	0.98397812	2288.06239677	0.98382844	2351.38964452	1.04063510	2367.74968655	1.13958633	2383.30600800	1.05255970	2453.51859858	0.93687007	2470.55162038	1.02520588
1945.99902174	1.10575904	1959.59779091	1.14256193	1972.50460007	0.82089481	2015.53993168	0.99654999	2029.61734557	0.92538495	2042.98015380	0.95908754	2090.21691597	0.98291250	2104.78838250	0.90048115	2118.63887288	0.99600196	2170.53184232		2185.71139199	0.99528908	2200.09568461	0.99285343	2257.40392208	1.01532912	2273.12631107	0.99193703	2288.06903376	0.95762054	2351.39725951	1.06471840	2367.75696053	1.14518184	2383.31291399	1.05643351	2453.52653556	0.97657432	2470.55920237	1.09295905
1946.00534673	1.15141264	1959.60382990	1.12215536	1972.51033506	0.87932600	2015.54647867	1.01765488	2029.62359556	0.94362613	2042.98608979	0.96066835	2090.22370096	0.97852600	2104.79486048	0.92459359	2118.64502487	0.93345381	2170.53888231	0.99850783	2185.71811498	1.00679597	2200.10206860	0.99806258	2257.41123707	0.99555996	2273.13329806	0.96570634	2288.07567075	1.00595265	2351.40487450	1.03814724	2367.76423452	1.15559144	2383.31981998	1.07398334	2453.53447355	0.92584849	2470.56678435	1.07260172
1946.01167072	1.17636347	1959.60986789	1.11092825	1972.51607005	0.81219627	2015.55302566	0.98983253	2029.62984655	0.93491584	2042.99202578	0.93989196	2090.23048495	0.97938653	2104.80133848	0.94205990	2118.65117686	0.99543291	2170.54592330	0.97711394	2185.72483697	0.98560427	2200.10845359	1.02999961	2257.41855206	0.98695695	2273.14028505	0.98233978	2288.08230774	0.99636837	2351.41248848	1.05191336	2367.77150851	1.10517918	2383.32672597	1.07244983	2453.54241054	0.93752454	2470.57436634	1.13394328
1946.01799571	1.17182669	1959.61590588	1.14007177	1972.52180505	0.87908412	2015.55957265	1.02536487	2029.63609654	0.94333910	2042.99796177	0.93186089	2090.23726994	0.99580287	2104.80781646	0.96834314	2118.65732885	0.97364980	2170.55296428	1.01063723	2185.73155896	0.99668216	2200.11483758	0.96990712	2257.42586805	1.01010184	2273.14727204	0.97002064	2288.08894373	0.97184960	2351.42010347	1.02029337	2367.77878151	1.12467404	2383.33363095	1.08096657	2453.55034753	1.02887941	2470.58194833	1.04657397
1946.02431970	1.11095334	1959.62194387	1.12059331	1972.52754004	0.87626963	2015.56611963	0.97930400	2029.64234653	0.92586365	2043.00389676	0.98006776	2090.24405393	0.96586871	2104.81429444	0.94260484	2118.66348084	0.99082115	2170.56000427	0.99815277	2185.73828095	1.02502235	2200.12122157	0.97531328	2257.43318303	1.00210083	2273.15425802	1.02267175	2288.09558071	0.97245115	2351.42771846	1.02107700	2367.78605549	1.14006547	2383.34053694	1.05862466	2453.55828451	0.94428081	2470.58953032	1.05517128
