freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1946.81759491	1.03273662	1960.21608743	1.00376559	1972.44028185		2015.83004628	1.06726715	2029.52796701		2043.39180875	1.01196995	2090.11601917		2104.71608502		2119.83847906	1.01671217	2170.50935050		2185.65285144		2200.03029421		2257.29918387		2273.02924523		2288.84831121	0.98971779	2351.29220660		2367.65950390		2384.12225716	1.01441405	2453.42059815		2471.81390980	1.05188228
1946.82388891	1.02706718	1960.22209243	1.00763002	1972.44597385		2015.83658928	1.07140643	2029.53422101		2043.39773475	1.01640912	2090.12280717		2104.72255202		2119.84455606	1.01769618	2170.51639150		2185.65953144		2200.03665121		2257.30647588		2273.03623523		2288.85491621	0.99590241	2351.29979560		2367.66671990		2384.12912116	1.01151074	2453.42852215		2471.82144080	1.04957199
1946.83018290	1.03041193	1960.22809643	1.00741138	1972.45166485		2015.84313228	1.06937668	2029.54047501		2043.40366175	1.01107421	2090.12959517		2104.72901902		2119.85063306	1.02081256	2170.52343350		2185.66621144		2200.04300821		2257.31376787		2273.04322523		2288.86152121	1.00049249	2351.30738360		2367.67393490		2384.13598616	1.01000395	2453.43644515		2471.82897080	1.05802825
1946.83647591	1.03602438	1960.23410143	1.00555636	1972.45735585		2015.84967529	1.05636777	2029.54672801		2043.40958775	1.00824479	2090.13638217		2104.73548602	0.99666238	2119.85671006	1.01614896	2170.53047450		2185.67289044		2200.04936521		2257.32105988		2273.05021423		2288.86812621	1.00375370	2351.31497260		2367.68115090		2384.14285016	1.01313357	2453.44436915		2471.83650080	1.04505874
1946.84276991	1.01471186	1960.24010543	1.00889764	1972.46304785	0.95522535	2015.85621829	1.01383636	2029.55298201	0.97755519	2043.41551375	1.00306756	2090.14316917		2104.74195302	0.99005582	2119.86278606	1.00036675	2170.53751550		2185.67957044	1.00454309	2200.05572121		2257.32835088		2273.05720423		2288.87473121	1.00704026	2351.32256060		2367.68836590		2384.14971416	1.02628923	2453.45229215		2471.84403080	1.03859090
1946.84906391	1.00857752	1960.24610943	1.00388519	1972.46873885	0.95931120	2015.86276028	1.01684327	2029.55923501	0.97996341	2043.42144075	0.99712665	2090.14995717		2104.74842002	0.99100590	2119.86886206	1.00020739	2170.54455650	0.99430431	2185.68624944	1.00265438	2200.06207821		2257.33564287		2273.06419323		2288.88133621	1.00029508	2351.33014960		2367.69558090		2384.15657816	1.02142782	2453.46021515		2471.85156080	1.04266412
1946.85535691	1.01605782	1960.25211343	1.00762205	1972.47442885	0.96082015	2015.86930328	1.01959401	2029.56548801	0.97880869	2043.42736675	0.99487230	2090.15674417	1.01551884	2104.75488602	0.99148637	2119.87493806	0.99605022	2170.55159650	0.99381049	2185.69292844	1.00053914	2200.06843421		2257.34293388		2273.07118223		2288.88794021	0.99161151	2351.33773760		2367.70279590		2384.16344116	1.01699881	2453.46813815		2471.85909080	1.02984236
1946.86164990	1.01275521	1960.25811743	1.00301306	1972.48011985	0.96438631	2015.87584528	1.01583844	2029.57174101	0.98746495	2043.43329175	1.00727217	2090.16353117	1.01444491	2104.76135202	0.99758653	2119.88101406	1.00282360	2170.55863750	0.99285874	2185.69960744	1.00504482	2200.07479021	1.00245486	2257.35022488	0.98086554	2273.07817023		2288.89454421	1.05956040	2351.34532560		2367.71001090		2384.17030516	1.01459530	2453.47606015	0.97308445	2471.86662080	0.99243362
1946.86794291	1.01204691	1960.26412143	1.00968637	1972.48581085	0.96747892	2015.88238729	1.01325415	2029.57799401	0.98278109	2043.43921775	1.00361716	2090.17031717	1.01079677	2104.76781802	0.99462755	2119.88709006	0.99852449	2170.56567850	0.98794947	2185.70628644	0.99876721	2200.08114621	1.00606466	2257.35751587	0.98568495	2273.08515923	0.98190542	2288.90114821	1.00104803	2351.35291260		2367.71722590		2384.17716816	1.01341277	2453.48398315	0.98738624	2471.87414980	1.00225553
1946.87423590	1.01016078	1960.27012543	0.99936174	1972.49150085	0.96852329	2015.88892928	1.01219769	2029.58424701	0.98658190	2043.44514375	0.99773354	2090.17710417	1.01262441	2104.77428402	0.99970504	2119.89316606	0.99829457	2170.57271850	0.99175730	2185.71296444	1.00081673	2200.08750221	0.99990542	2257.36480687	0.98063899	2273.09214823	0.99115961	2288.90775221	1.00410012	2351.36050060	1.00550020	2367.72443990		2384.18403116	1.00482354	2453.49190515	0.99362283	2471.88167880	0.99218329
