freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1946.81759491	1.00883749	1960.21608743	1.00921812	1972.44028185		2015.83004628	1.01461394	2029.52796701		2043.39180875	1.00508681	2090.11601917		2104.71608502		2119.83847906	1.00424890	2170.50935050		2185.65285144		2200.03029421		2257.29918387		2273.02924523		2288.84831121	0.99297036	2351.29220660		2367.65950390		2384.12225716	1.01218225	2453.42059815		2471.81390980	1.02231964
1946.82388891	1.00806837	1960.22209243	1.01003864	1972.44597385		2015.83658928	1.01968395	2029.53422101		2043.39773475	1.01000555	2090.12280717		2104.72255202		2119.84455606	1.00631789	2170.51639150		2185.65953144		2200.03665121		2257.30647588		2273.03623523		2288.85491621	0.99795198	2351.29979560		2367.66671990		2384.12912116	1.01400679	2453.42852215		2471.82144080	1.00737525
1946.83018290	1.00807793	1960.22809643	1.01003475	1972.45166485		2015.84313228	1.01916796	2029.54047501		2043.40366175	1.00330430	2090.12959517		2104.72901902		2119.85063306	1.00574843	2170.52343350		2185.66621144		2200.04300821		2257.31376787		2273.04322523		2288.86152121	1.00528061	2351.30738360		2367.67393490		2384.13598616	1.00563824	2453.43644515		2471.82897080	1.02147492
1946.83647591	1.02296235	1960.23410143	1.00330206	1972.45735585		2015.84967529	1.02317859	2029.54672801		2043.40958775	1.00609444	2090.13638217		2104.73548602	0.99666238	2119.85671006	1.00144306	2170.53047450		2185.67289044		2200.04936521		2257.32105988		2273.05021423		2288.86812621	1.00573850	2351.31497260		2367.68115090		2384.14285016	1.00747794	2453.44436915		2471.83650080	1.01441897
1946.84276991	1.01475143	1960.24010543	1.00757735	1972.46304785	0.94102890	2015.85621829	1.01838025	2029.55298201	0.97755519	2043.41551375	1.00167296	2090.14316917		2104.74195302	0.99049788	2119.86278606	1.00030704	2170.53751550		2185.67957044	0.99657764	2200.05572121		2257.32835088		2273.05720423		2288.87473121	1.01158788	2351.32256060		2367.68836590		2384.14971416	1.02965736	2453.45229215		2471.84403080	1.00093060
1946.84906391	1.01111237	1960.24610943	1.00486733	1972.46873885	0.94927517	2015.86276028	1.01552561	2029.55923501	0.98371167	2043.42144075	0.99861422	2090.14995717		2104.74842002	0.99122132	2119.86886206	1.00377218	2170.54455650	0.99475613	2185.68624944	1.00649956	2200.06207821		2257.33564287		2273.06419323		2288.88133621	0.99394861	2351.33014960		2367.69558090		2384.15657816	1.01594416	2453.46021515		2471.85156080	1.00020645
1946.85535691	1.01557948	1960.25211343	1.00677464	1972.47442885	0.95444272	2015.86930328	1.01874739	2029.56548801	0.97556880	2043.42736675	0.99281525	2090.15674417	1.01700172	2104.75488602	0.99223391	2119.87493806	0.99631444	2170.55159650	0.99471268	2185.69292844	1.00019275	2200.06843421		2257.34293388		2273.07118223		2288.88794021	0.99687444	2351.33773760		2367.70279590		2384.16344116	1.02017647	2453.46813815		2471.85909080	1.02325309
1946.86164990	1.01056927	1960.25811743	1.00198267	1972.48011985	0.94921175	2015.87584528	1.01774325	2029.57174101	0.98858723	2043.43329175	1.00432676	2090.16353117	1.01559037	2104.76135202	1.00061889	2119.88101406	1.00267070	2170.55863750	0.99417280	2185.69960744	1.00765361	2200.07479021	0.99840298	2257.35022488	0.98000504	2273.07817023		2288.89454421	1.00601391	2351.34532560		2367.71001090		2384.17030516	1.02319393	2453.47606015	0.97992777	2471.86662080	0.99572913
1946.86794291	1.00396381	1960.26412143	1.01119586	1972.48581085	0.95768034	2015.88238729	1.01608731	2029.57799401	0.98199344	2043.43921775	1.00232488	2090.17031717	1.01328360	2104.76781802	0.99433477	2119.88709006	0.99691650	2170.56567850	0.98920354	2185.70628644	1.00092751	2200.08114621	1.00674985	2257.35751587	0.98757590	2273.08515923	0.98323717	2288.90114821	0.99724003	2351.35291260		2367.71722590		2384.17716816	1.00504628	2453.48398315	0.98638738	2471.87414980	1.00178901
1946.87423590	1.01244905	1960.27012543	0.99524118	1972.49150085	0.96273363	2015.88892928	1.01085560	2029.58424701	0.98417327	2043.44514375	0.99932378	2090.17710417	1.01639017	2104.77428402	1.00366357	2119.89316606	1.00215818	2170.57271850	0.99257399	2185.71296444	0.99957972	2200.08750221	0.99921764	2257.36480687	0.98028082	2273.09214823	0.98862639	2288.90775221	1.00445774	2351.36050060	1.00419556	2367.72443990		2384.18403116	1.00145897	2453.49190515	0.99258594	2471.88167880	1.01205621
