freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.90682233		1959.51130451		1972.43108585		2015.44204283		2029.52485170		2042.89755054		2090.10199159		2104.70328405		2118.03382933		2170.48938833		2184.18805470		2199.75649217		2257.29318188		2273.03074915		2287.98051577		2351.28868127		2367.65058853		2383.22425938		2453.41507188		2470.45484890	
1945.91315234		1959.51734751		1972.43682585		2015.44859583		2029.53110771		2042.90349155		2090.10878160		2104.70976806		2118.03998633		2170.49643434		2184.19478270		2199.76288217		2257.30050389		2273.03774216		2287.98715578		2351.29629828		2367.65786553		2383.23116838		2453.42301388		2470.46243390	
1945.91948234		1959.52339152		1972.44256586		2015.45514784		2029.53736371		2042.90943255		2090.11557161		2104.71625106		2118.04614434		2170.50347934		2184.20151171		2199.76927218		2257.30782489		2273.04473516		2287.99379578		2351.30391629		2367.66514254		2383.23807740		2453.43095489		2470.47001791	
1945.92581235		1959.52943452		1972.44830586		2015.46169983		2029.54361872		2042.91537356		2090.12236161		2104.72273507		2118.05230134		2170.51052535		2184.20823971		2199.77566218		2257.31514590		2273.05172817		2288.00043579		2351.31153329		2367.67241955		2383.24498539		2453.43889590		2470.47760292	
1945.93214235		1959.53547753		1972.45404587		2015.46825184		2029.54987372		2042.92131456		2090.12915161		2104.72921807		2118.05845835		2170.51757036		2184.21496772		2199.78205219		2257.32246590		2273.05872018		2288.00707479		2351.31915030		2367.67969555		2383.25189341		2453.44683690		2470.48518692	
1945.93847136	1.27529850	1959.54152053		1972.45978587	0.94047887	2015.47480385	1.00559603	2029.55612873	0.99484061	2042.92725557		2090.13594062		2104.73570108		2118.06461536		2170.52461536		2184.22169572		2199.78844121		2257.32978691		2273.06571218		2288.01371480		2351.32676730		2367.68697256		2383.25880141		2453.45477791		2470.49277093	
1945.94480136	1.20070939	1959.54756354	1.08422842	1972.46552488	0.93420562	2015.48135586	0.99553373	2029.56238373	1.00215588	2042.93319557	0.98962670	2090.14273062		2104.74218409	1.00785397	2118.07077236		2170.53166137		2184.22842273		2199.79483020		2257.33710792		2273.07270519		2288.02035380		2351.33438431		2367.69424856		2383.26570941		2453.46271892		2470.50035493	
1945.95113037	1.15135655	1959.55360654	1.09297886	1972.47126488	0.95782321	2015.48790786	1.01087260	2029.56863874	0.95959099	2042.93913658	1.00905960	2090.14951963		2104.74866709	0.98650061	2118.07692837		2170.53870637		2184.23515074		2199.80122021		2257.34442792		2273.07969719		2288.02699381		2351.34200132		2367.70152457		2383.27261742		2453.47065892		2470.50793894	
1945.95745937	1.11857050	1959.55964855	1.12159305	1972.47700389	0.97402069	2015.49445986	0.99808109	2029.57489374	1.00307186	2042.94507658	1.00549240	2090.15630863	1.03153060	2104.75515010	1.00003967	2118.08308537		2170.54575038	0.96446224	2184.24187774		2199.80760921		2257.35174793	1.00662469	2273.08668920	1.01237274	2288.03363281		2351.34961732		2367.70879958		2383.27952542		2453.47859993	0.93029903	2470.51552195	
1945.96378838	1.16059563	1959.56569155	1.13321346	1972.48274289	0.89159307	2015.50101087	0.99423534	2029.58114775	1.01380098	2042.95101659	0.97323160	2090.16309764	1.06484886	2104.76163210	0.99467802	2118.08924138		2170.55279539	0.99400078	2184.24860575		2199.81399823		2257.35906793	1.03976265	2273.09368021	1.00777671	2288.04027182		2351.35723333	1.00970094	2367.71607558		2383.28643243		2453.48653994	0.92108002	2470.52310595	
