freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.10885595		1959.51540785		1972.43546525		2015.45036052		2029.52176223		2042.89818080		2090.11467534		2104.71255759		2117.87609300		2170.45693587		2183.56997334		2199.52773147		2257.26740447		2272.98609358		2287.93439105		2351.24683594		2367.60222086		2383.16546640		2453.34364666		2469.46579911	
1945.11518396		1959.52145085		1972.44120426		2015.45691153		2029.52801623		2042.90412080		2090.12146334		2104.71903960		2117.88224901		2170.46397987		2183.57669935		2199.53411947		2257.27472347		2272.99308458		2287.94103006		2351.25445094		2367.60949586		2383.17237340		2453.35158566		2469.47338212	
1945.12151296		1959.52749286		1972.44694226		2015.46346154		2029.53427024		2042.91006080		2090.12825135		2104.72552060		2117.88840401		2170.47102388		2183.58342535		2199.54050748		2257.28204248		2273.00007459		2287.94766806		2351.26206695		2367.61676987		2383.17928041		2453.35952467		2469.48096512	
1945.12784097		1959.53353385		1972.45268127		2015.47001254		2029.54052424		2042.91600081		2090.13503935		2104.73200261		2117.89455901		2170.47806788		2183.59015136		2199.54689648		2257.28936049		2273.00706459		2287.95430607		2351.26968196		2367.62404488		2383.18618641		2453.36746368		2469.48854713	
1945.13416898		1959.53957586		1972.45841927		2015.47656355	0.99062783	2029.54677725		2042.92193982		2090.14182736		2104.73848361	0.99342595	2117.90071402		2170.48511089		2183.59687736		2199.55328449		2257.29667949		2273.01405460		2287.96094307		2351.27729596		2367.63131888		2383.19309242		2453.37540268		2469.49612914	
1945.14049697		1959.54561786	1.03026811	1972.46415728	0.93808064	2015.48311355	0.98301551	2029.55303125		2042.92787983		2090.14861437		2104.74496562	0.99245218	2117.90686902		2170.49215489		2183.60360337		2199.55967149		2257.30399750		2273.02104460		2287.96758108		2351.28491097		2367.63859289		2383.19999842		2453.38334069		2469.50371214	
1945.14682498		1959.55165888	1.03060562	1972.46989528	0.97946698	2015.48966357	0.99678163	2029.55928426	0.98396729	2042.93381882	0.98246654	2090.15540237	1.04437363	2104.75144662	0.98037278	2117.91302304		2170.49919790		2183.61032937		2199.56605950		2257.31131550		2273.02803461		2287.97421808		2351.29252598		2367.64586689		2383.20690443		2453.39127870		2469.51129415	
1945.15315198		1959.55769988	1.04258975	1972.47563329	0.95338951	2015.49621357	0.99162016	2029.56553726	0.98447357	2042.93975784	1.00005875	2090.16218938	1.05818751	2104.75792763	0.98067894	2117.91917804		2170.50624091		2183.61705438		2199.57244751		2257.31863351		2273.03502362		2287.98085609		2351.30013998		2367.65313990		2383.21381044		2453.39921770		2469.51887516	
1945.15947999		1959.56374088	1.04400441	1972.48137029	0.94574922	2015.50276357	0.99491751	2029.57179027	0.96978675	2042.94569683	0.98963695	2090.16897638	1.05001090	2104.76440863	0.97083849	2117.92533204		2170.51328391		2183.62377939		2199.57883451		2257.32595152		2273.04201362		2287.98749310		2351.30775399		2367.66041391		2383.22071644		2453.40715571		2469.52645716	
1945.16580699		1959.56978189	1.01837901	1972.48710830	0.93758295	2015.50931357	0.99136983	2029.57804328	0.97407601	2042.95163585	1.00605215	2090.17576339	1.04618608	2104.77088864	0.99503884	2117.93148604		2170.52032692		2183.63050439		2199.58522152		2257.33326952		2273.04900263		2287.99413010		2351.31536800		2367.66768691		2383.22762145		2453.41509272		2469.53403817	
