freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.92173733		1959.52824171		1972.43358135		2015.45075596		2029.53339869		2042.88875644		2090.10803034		2104.70146907		2118.55383584		2170.48214068		2185.36171252		2200.00681489		2257.27119792		2272.99379544		2287.94078300		2351.24771714		2367.60571780		2383.17020795		2453.36058874		2470.40115648	
1945.92806234		1959.53428072		1972.43931736		2015.45730297		2029.53964869		2042.89469244		2090.11481535		2104.70794708		2118.55998785		2170.48918168		2185.36843553		2200.01319989		2257.27851293		2273.00078245		2287.94742000		2351.25533116		2367.61299181		2383.17711395		2453.36852675		2470.40873749	
1945.93438734		1959.54031872		1972.44505236		2015.46384998		2029.54589970		2042.90062945		2090.12159935		2104.71442508		2118.56613885		2170.49622069		2185.37515754		2200.01958490		2257.28582693		2273.00776845		2287.95405701		2351.26294516		2367.62026481		2383.18401996		2453.37646375		2470.41631849	
1945.94071135	3.94009509	1959.54635673		1972.45078837	4.11496386	2015.47039698		2029.55214970		2042.90656545		2090.12838336		2104.72090209		2118.57229086		2170.50326069		2185.38187954		2200.02596890		2257.29314094		2273.01475446		2287.96069401		2351.27055916		2367.62753782		2383.19092597		2453.38440076		2470.42389950	
1945.94703635	1.10498494	1959.55239573	1.16939865	1972.45652337	0.84881286	2015.47694399	0.95902614	2029.55839971		2042.91250145		2090.13516736		2104.72738009		2118.57844286		2170.51030070		2185.38860055		2200.03235391		2257.30045495		2273.02174047		2287.96733002		2351.27817217		2367.63481082		2383.19783197		2453.39233777		2470.43148051	
1945.95336036	1.16390758	1959.55843374	1.14132984	1972.46225838	0.85327127	2015.48349099	0.95776454	2029.56464871	0.90965525	2042.91843746		2090.14195137		2104.73385710		2118.58459387		2170.51733971		2185.39532255		2200.03873791		2257.30776895		2273.02872647		2287.97396702		2351.28578618		2367.64208383		2383.20473698		2453.40027477		2470.43906151	
1945.95968537	1.09291519	1959.56447074	1.16811487	1972.46799338	0.87032534	2015.49003700	0.97002587	2029.57089872	0.88672923	2042.92437346	0.99628873	2090.14873438	1.03256795	2104.74033510	0.93324605	2118.59074487		2170.52437971		2185.40204456		2200.04512292		2257.31508196		2273.03571148		2287.98060303		2351.29339918		2367.64935584		2383.21164298		2453.40821178		2470.44664152	
1945.96600937	1.18113473	1959.57050875	1.11577983	1972.47372739	0.86587093	2015.49658400	0.95798877	2029.57714872	0.89127950	2042.93030947	0.96388032	2090.15551838	1.02576895	2104.74681211	0.92456605	2118.59689588	0.97113644	2170.53141872		2185.40876556		2200.05150692		2257.32239596		2273.04269748		2287.98724004		2351.30101219		2367.65662884		2383.21854799		2453.41614879		2470.45422253	
1945.97233338	1.14230624	1959.57654675	1.15086517	1972.47946239	0.88939558	2015.50313001	0.96721459	2029.58339773	0.90177981	2042.93624447	0.99590761	2090.16230139	1.00565237	2104.75328911	0.97291255	2118.60304688	0.95847896	2170.53845772		2185.41548657		2200.05789093		2257.32970897		2273.04968249		2287.99387604		2351.30862519		2367.66390085		2383.22545300		2453.42408479		2470.46180253	
1945.97865738	1.17020116	1959.58258376	1.05772899	1972.48519639	0.85982774	2015.50967601	0.97179776	2029.58964673	0.89625163	2042.94218048	0.97301785	2090.16908439	1.02195271	2104.75976612	0.94595808	2118.60919789	0.99481594	2170.54549673	1.03313912	2185.42220758		2200.06427494		2257.33702198		2273.05666849		2288.00051205		2351.31623821		2367.67117285		2383.23235800		2453.43202180		2470.46938254	
