freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.92475539		1959.52847766		1972.43382580		2015.45497666		2029.54340271		2042.89831675		2090.12269293		2104.70794006		2118.57526576		2170.50773735		2185.63272199		2200.03647374		2257.30588656		2273.03062103		2287.98530548		2351.29133304		2367.65665129		2383.22177786		2453.42195116		2470.45230051	
1945.93108039		1959.53451566		1972.43956080		2015.46152466		2029.54965071		2042.90425275		2090.12947693		2104.71441806		2118.58140376		2170.51477635		2185.63942899		2200.04285874		2257.31319956		2273.03760703		2287.99194148		2351.29894604		2367.66392429		2383.22868286		2453.42988716		2470.45988051	
1945.93740539	1.13467510	1959.54055366		1972.44529580		2015.46807066		2029.55589871		2042.91018975		2090.13626093		2104.72089506		2118.58754276		2170.52181535		2185.64613599		2200.04924274		2257.32051356		2273.04459203		2287.99857748		2351.30656004		2367.67119629		2383.23558786		2453.43782316		2470.46746051	
1945.94372939	1.37410992	1959.54659266		1972.45103080	1.27619799	2015.47461766	0.95241292	2029.56214671	0.91669357	2042.91612575		2090.14304493		2104.72737306		2118.59368076	1.03861144	2170.52885535		2185.65284299		2200.05562674		2257.32782656		2273.05157703		2288.00521348		2351.31417204		2367.67846829		2383.24249186		2453.44575916		2470.47504051	
1945.95005439	1.11327906	1959.55263066	1.18709254	1972.45676580	0.82601525	2015.48116466	0.95436887	2029.56839371	0.90928310	2042.92206075	0.96950950	2090.14982793	0.99102043	2104.73385006		2118.59981876	0.99969962	2170.53589435		2185.65954999		2200.06201074		2257.33513956		2273.05856203		2288.01184848		2351.32178504		2367.68574029		2383.24939686		2453.45369516		2470.48262051	
1945.95637839	1.11166796	1959.55866766	1.17640709	1972.46250080	0.82947467	2015.48771066	0.95317242	2029.57464171	0.91660969	2042.92799675	0.97920319	2090.15661193	0.99118940	2104.74032706	0.92395940	2118.60595676	0.99367120	2170.54293235	1.00519302	2185.66625699		2200.06839474	0.99762806	2257.34245356		2273.06554703		2288.01848448		2351.32939804		2367.69301129		2383.25630086		2453.46163016		2470.49019951	
1945.96270239	1.11085406	1959.56470566	1.17587815	1972.46823580	0.83360547	2015.49425766	0.96478551	2029.58088871	0.91090570	2042.93393275	0.98141443	2090.16339493	0.99414604	2104.74680406	0.92247133	2118.61209476	0.98803979	2170.54997135	1.00532221	2185.67296299		2200.07477874	1.00205938	2257.34976556	1.01696155	2273.07253203		2288.02511948		2351.33701004		2367.70028329		2383.26320486		2453.46956516	0.94089200	2470.49777851	
1945.96902639	1.11726010	1959.57074366	1.15844265	1972.47396980	0.83611533	2015.50080366	0.96119759	2029.58713671	0.91285177	2042.93986775	0.97555465	2090.17017793	0.98593333	2104.75328106	0.93248758	2118.61823276	0.99055718	2170.55701035	1.00839472	2185.67966999	0.98515180	2200.08116174	0.99343535	2257.35707856	1.01534182	2273.07951603	1.01486553	2288.03175448		2351.34462204		2367.70755429		2383.27010886		2453.47750016	0.99606215	2470.50535751	
1945.97535039	1.09923142	1959.57678066	1.15884803	1972.47970480	0.84469549	2015.50734966	0.96110481	2029.59338371	0.91473517	2042.94580275	0.98197101	2090.17696093	0.98982336	2104.75975806	0.92902792	2118.62437076	0.97862172	2170.56404835	1.01207289	2185.68637599	0.99977446	2200.08754474	0.99776190	2257.36439156	1.01443309	2273.08650103	1.00822886	2288.03838948	0.98245400	2351.35223504		2367.71482529		2383.27701186		2453.48543516	0.98913079	2470.51293651	
1945.98167439	1.11230159	1959.58281766	1.14469726	1972.48543880	0.85125363	2015.51389566	0.96611781	2029.59963071	0.91668947	2042.95173775	0.97809074	2090.18374393	0.99735190	2104.76623406	0.93421721	2118.63050776	0.98821844	2170.57108635	1.01020572	2185.69308199	0.99918023	2200.09392874	0.99538933	2257.37170356	1.01927624	2273.09348503	1.01054164	2288.04502448	0.98599889	2351.35984704	1.08837528	2367.72209629	1.18780462	2383.28391586		2453.49337016	0.97527931	2470.52051551	
