freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.91334892		1958.84949926		1972.42489312		2015.43961994		2029.51769317		2042.37322935		2090.10476990		2103.95234227		2118.52023434		2170.40501136		2183.84893035		2199.48496439		2257.26191109		2272.96609560		2287.93212569		2351.23851673		2367.59786617		2383.15371113		2453.29783796		2470.38004670	
1945.91967691		1958.85554025		1972.43063111		2015.44616992		2029.52394616		2042.37916834		2090.11155689		2103.95882326		2118.52638933		2170.41205435		2183.85565434		2199.49135138		2257.26922908		2272.97308459		2287.93876368		2351.24613172		2367.60514016		2383.16061812		2453.30577593		2470.38762968	
1945.92600390		1958.86158124		1972.43636810		2015.45271891		2029.53019915		2042.38510733		2090.11834387		2103.96530325		2118.53254332		2170.41909734		2183.86237933		2199.49773938		2257.27654706		2272.98007357		2287.94540166		2351.25374671		2367.61241414		2383.16752511		2453.31371392		2470.39521168	
1945.93233089	1.28954975	1958.86762123		1972.44210609		2015.45926890		2029.53645113		2042.39104632		2090.12513086		2103.97178424		2118.53869730		2170.42614033		2183.86910432		2199.50412537		2257.28386605		2272.98706256		2287.95203965		2351.26136269		2367.61968913		2383.17443110		2453.32165192		2470.40279366	
1945.93865788	0.66088186	1958.87366222		1972.44784308	0.77233813	2015.46581789		2029.54270412		2042.39698431		2090.13191785		2103.97826423		2118.54485029		2170.43318331		2183.87582830		2199.51051235		2257.29118404		2272.99405155		2287.95867664		2351.26897668		2367.62696312		2383.18133709		2453.32958989		2470.41037566	
1945.94498487	0.69650290	1958.87970221		1972.45358007	0.75769054	2015.47236688	0.78122044	2029.54895611	0.92603642	2042.40292330		2090.13870384		2103.98474422		2118.55100428		2170.44022630		2183.88255229		2199.51689934		2257.29850203		2273.00104054		2287.96531463		2351.27659167		2367.63423711		2383.18824408		2453.33752688		2470.41795764	
1945.95131186	0.69585526	1958.88574320		1972.45931706	0.79266914	2015.47891587	0.80163336	2029.55520810	0.95745765	2042.40886129		2090.14549083	0.86653966	2103.99122421		2118.55715827		2170.44726929		2183.88927628		2199.52328533		2257.30581902		2273.00802853		2287.97195162		2351.28420666		2367.64151010		2383.19515007		2453.34546487		2470.42553962	
1945.95763785	0.71768179	1958.89178319		1972.46505405	0.81021432	2015.48546486	0.81073882	2029.56146009	0.94207200	2042.41479928		2090.15227682	0.87479035	2103.99770420		2118.56331126		2170.45431128		2183.89600027		2199.52967232		2257.31313700		2273.01501652		2287.97858861		2351.29182064		2367.64878408		2383.20205505		2453.35340185		2470.43312061	
1945.96396484	0.76634760	1958.89782318		1972.47079104	0.79656819	2015.49201385	0.81634710	2029.56771208	0.96396914	2042.42073727		2090.15906381	0.87475393	2104.00418319		2118.56946425		2170.46135427		2183.90272426		2199.53605831		2257.32045499		2273.02200450		2287.98522560		2351.29943563		2367.65605707		2383.20896104		2453.36133885		2470.44070259	
1945.97029083	0.78006004	1958.90386317		1972.47652703	0.80666453	2015.49856284	0.84526133	2029.57396407	0.94885050	2042.42667426		2090.16584980	0.88839602	2104.01066318		2118.57561724		2170.46839626		2183.90944825		2199.54244430		2257.32777198		2273.02899249		2287.99186259		2351.30704962		2367.66333006		2383.21586603		2453.36927584		2470.44828358	
1945.97661782	0.82831552	1958.90990316		1972.48226402	0.81244701	2015.50511083	0.86704325	2029.58021606	0.97355633	2042.43261225		2090.17263578	0.90028170	2104.01714216		2118.58177023		2170.47543824		2183.91617124		2199.54883028		2257.33508897		2273.03598048		2287.99849958		2351.31466361		2367.67060305		2383.22277202		2453.37721181		2470.45586458	
1945.98294381	0.86470878	1958.91594215		1972.48800001	0.80611676	2015.51165982	0.87625962	2029.58646705	0.96713260	2042.43854924		2090.17942077	0.89220559	2104.02362215		2118.58792322		2170.48248023		2183.92289423		2199.55521528		2257.34240595	1.02208367	2273.04296847		2288.00513557		2351.32227759		2367.67787604		2383.22967701		2453.38514880		2470.46344556	
1945.98926980	0.91445087	1958.92198214		1972.49373600	0.83784146	2015.51820780	0.89061360	2029.59271804	0.97200096	2042.44448723		2090.18620676	0.89025742	2104.03010114		2118.59407521	0.95983136	2170.48952222		2183.92961821		2199.56160127		2257.34972294	1.03366499	2273.04995646		2288.01177255		2351.32989158		2367.68514902		2383.23658200		2453.39308479		2470.47102554	
1945.99559479	0.92998772	1958.92802113		1972.49947199	0.84950752	2015.52475579	0.91415128	2029.59897003	0.97270719	2042.45042422		2090.19299275	0.89935980	2104.03658013		2118.60022820	0.94280879	2170.49656321		2183.93634120		2199.56798626		2257.35703993	1.03153503	2273.05694345		2288.01840854		2351.33750457		2367.69242201		2383.24348698		2453.40102178		2470.47860653	
1946.00192078	0.98354294	1958.93406012		1972.50520798	0.86433786	2015.53130378	0.92812033	2029.60522102	0.99451735	2042.45636121		2090.19977774	0.88744743	2104.04305812		2118.60638019	0.95296999	2170.50360520		2183.94306419		2199.57437225		2257.36435692	1.04439604	2273.06393043		2288.02504453		2351.34511856		2367.69969400		2383.25039097		2453.40895777		2470.48618653	
1946.00824676	1.00554034	1958.94010011		1972.51094397	0.88105294	2015.53785177	0.96039469	2029.61147101	1.00356562	2042.46229820		2090.20656273	0.90152542	2104.04953711		2118.61253218	0.96848774	2170.51064618		2183.94978618		2199.58075723		2257.37167291	1.02684761	2273.07091742		2288.03168052	0.98722164	2351.35273154	1.36273413	2367.70696599		2383.25729596		2453.41689376		2470.49376752	
