freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.90346556		1958.84304346		1972.42241359		2015.43857443		2029.52122892		2042.37670733		2090.11214352		2103.97520229		2118.60548848	0.78515115	2170.50473274		2185.17166381		2199.49472446		2257.29147484		2273.00489864		2287.97144333		2351.28398290		2367.64488468		2383.20723104		2453.31739477		2470.44539093	
1945.90979455		1958.84908645		1972.42815358		2015.44512542		2029.52748391		2042.38264732		2090.11893250		2103.98168528		2118.61164447	0.78581941	2170.51177773		2185.17839080		2199.50111345		2257.29879583		2273.01189063		2287.97808332		2351.29160088		2367.65216167		2383.21414003		2453.32533476		2470.45297491	
1945.91612354		1958.85512844		1972.43389257		2015.45167641		2029.53373790		2042.38858731		2090.12572149		2103.98816727		2118.61780046	0.78441884	2170.51882272		2185.18511779		2199.50750244		2257.30611582		2273.01888262		2287.98472331		2351.29921787		2367.65943866		2383.22104902		2453.33327575		2470.46055990	
1945.92245253		1958.86117043		1972.43963156		2015.45822739		2029.53999189		2042.39452730		2090.13251048		2103.99464926		2118.62395745	0.78359165	2170.52586771		2185.19184378		2199.51389143		2257.31343680		2273.02587361		2287.99136330		2351.30683586		2367.66671464		2383.22795701		2453.34121573		2470.46814389	
1945.92878052		1958.86721242		1972.44537055		2015.46477838		2029.54624588		2042.40046729		2090.13929947		2104.00113125		2118.63011244	0.78577615	2170.53291170		2185.19857077		2199.52028042		2257.32075679		2273.03286460		2287.99800229		2351.31445285		2367.67399163		2383.23486600		2453.34915572		2470.47572888	
1945.93510951	0.75785108	1958.87325441		1972.45110854	0.80971214	2015.47132937	0.78330783	2029.55249987	0.92577646	2042.40640628		2090.14608846	0.86570584	2104.00761324		2118.63626843	0.88491008	2170.53995669	0.96073632	2185.20529676		2199.52666841		2257.32807678		2273.03985558		2288.00464228		2351.32206983		2367.68126762		2383.24177399		2453.35709571		2470.48331286	
1945.94143750	0.69888719	1958.87929540		1972.45684753	0.82702423	2015.47788036	0.80126204	2029.55875386	0.94003981	2042.41234627		2090.15287645	0.85716968	2104.01409523		2118.64242442	0.89727379	2170.54700067	0.98004282	2185.21202275		2199.53305740		2257.33539677		2273.04684657		2288.01128126		2351.32968682		2367.68854361		2383.24868298		2453.36503569		2470.49089585	
1945.94776549	0.72567507	1958.88533739		1972.46258552	0.83831716	2015.48443035	0.80995435	2029.56500685	0.92627162	2042.41828526		2090.15966444	0.83762068	2104.02057622		2118.64857941	0.90122274	2170.55404466	0.97129682	2185.21874873		2199.53944539		2257.34271675	1.01154911	2273.05383756		2288.01792025		2351.33730381		2367.69581960		2383.25559096		2453.37297568		2470.49847984	
1945.95409348	0.69401172	1958.89137838		1972.46832451	0.86865266	2015.49098134	0.80280728	2029.57126084	0.95737842	2042.42422425		2090.16645342	0.86802102	2104.02705821		2118.65473540	0.86942642	2170.56108865	0.96871347	2185.22547472		2199.54583338		2257.35003674	1.00911284	2273.06082755		2288.02455924		2351.34492080		2367.70309458		2383.26249795		2453.38091467		2470.50606383	
1945.96042146	0.77357874	1958.89742037		1972.47406250	0.85395639	2015.49753133	0.84044858	2029.57751383	0.96415912	2042.43016324		2090.17324141	0.87251296	2104.03353920		2118.66089039	0.91302070	2170.56813264	0.97143585	2185.23220071		2199.55222137		2257.35735673	1.01226050	2273.06781854		2288.03119823	1.00876956	2351.35253678	1.17839378	2367.71037057		2383.26940594		2453.38885465		2470.51364681	
