freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.92147149		1958.85291816		1972.43043493		2015.44841840		2029.52733104		2042.38703462		2090.12644730		2104.68610343		2119.29415006	0.98681270	2170.51498746		2185.18145852		2199.66921856		2257.30123652		2273.02866405		2287.97590301		2351.29497877		2367.65414908		2383.21160712		2453.35348248		2470.45196065	
1945.92779849		1958.85895916		1972.43611593		2015.45496740		2029.53358404		2042.39297362		2090.13323429		2104.69256842		2119.30025106	0.98138278	2170.52202846		2185.18813452		2199.67560056		2257.30855452		2273.03565205		2287.98254001		2351.30259377		2367.66142209		2383.21851312		2453.36141848		2470.45954265	
1945.93412549	0.19612347	1958.86500016		1972.44179793		2015.46151740		2029.53983604		2042.39891262		2090.14002130		2104.69903243		2119.30635206	0.97774867	2170.52906946		2185.19480952		2199.68198256		2257.31587152		2273.04263905		2287.98917701		2351.31020777		2367.66869508		2383.22541812		2453.36935548		2470.46712265	
1945.94045249	0.74042694	1958.87104016		1972.44747893		2015.46806640		2029.54608904		2042.40485062		2090.14680730	0.83867815	2104.70549643		2119.31245306	0.97403748	2170.53611046		2185.20148352		2199.68836556		2257.32318952		2273.04962705		2287.99581401		2351.31782177		2367.67596809		2383.23232312		2453.37729148		2470.47470365	
1945.94677949	0.70898904	1958.87708116		1972.45315993	0.80186380	2015.47461540	0.76319782	2029.55234104	0.95161593	2042.41078862		2090.15359330	0.84807065	2104.71196043		2119.31855406	0.96618999	2170.54315146	1.03711472	2185.20815852		2199.69474756		2257.33050652		2273.05661405		2288.00245101		2351.32543577		2367.68324109		2383.23922812		2453.38522848		2470.48228465	
1945.95310649	0.72562856	1958.88312116		1972.45884093	0.83275672	2015.48116440	0.79665434	2029.55859304	0.93636268	2042.41672662		2090.16038029	0.83953269	2104.71842443		2119.32465506	0.95682499	2170.55019146	1.01446029	2185.21483352		2199.70112956		2257.33782452		2273.06360105		2288.00908701		2351.33304977		2367.69051309		2383.24613312		2453.39316448		2470.48986465	
1945.95943349	0.74884557	1958.88916216		1972.46452193	0.84359650	2015.48771340	0.79671140	2029.56484504	0.94212806	2042.42266462		2090.16716629	0.84644524	2104.72488842		2119.33075606	0.96089223	2170.55723246	1.01726254	2185.22150752		2199.70751056		2257.34514152	1.00755923	2273.07058905		2288.01572301		2351.34066277		2367.69778609		2383.25303812		2453.40110048		2470.49744465	
1945.96575949	0.78516160	1958.89520216		1972.47020293	0.85889144	2015.49426240	0.81525007	2029.57109704	0.94951470	2042.42860262		2090.17395230	0.85465245	2104.73135242		2119.33685606	0.95959536	2170.56427246	1.01537845	2185.22818252		2199.71389256		2257.35245852	1.02615411	2273.07757505		2288.02236001		2351.34827677		2367.70505809		2383.25994212		2453.40903548		2470.50502465	
1945.97208549	0.80733984	1958.90124216		1972.47588393	0.86605227	2015.50081140	0.82626577	2029.57734904	0.95853915	2042.43453962		2090.18073830	0.86508593	2104.73781642	0.95249521	2119.34295706	0.95668576	2170.57131246	1.01669590	2185.23485652		2199.72027356		2257.35977452	1.02462599	2273.08456205	1.00151097	2288.02899601		2351.35588977	1.28467480	2367.71233008		2383.26684612		2453.41697148		2470.51260465	
1945.97841249	0.84736122	1958.90728216		1972.48156393	0.87126764	2015.50735940	0.84926682	2029.58360104	0.96599843	2042.44047762		2090.18752330	0.86082659	2104.74427943	0.96664422	2119.34905706	0.96071424	2170.57835246	1.01082225	2185.24153052		2199.72665556		2257.36709152	1.04003057	2273.09154905	0.98816611	2288.03563101	0.99362706	2351.36350277	1.24176111	2367.71960209		2383.27375012		2453.42490748		2470.52018465	
1945.98473849	0.89462112	1958.91332216		1972.48724393	0.87677019	2015.51390840	0.85431467	2029.58985204	0.97310346	2042.44641462		2090.19430930	0.84673692	2104.75074243	0.97918951	2119.35515706	0.96076984	2170.58539246	1.01663939	2185.24820452		2199.73303656		2257.37440752	1.03878187	2273.09853505	0.97832839	2288.04226701	0.97228144	2351.37111577	1.25312757	2367.72687408	1.07009321	2383.28065412		2453.43284248		2470.52776365	1.06259050
1945.99106449	0.90847535	1958.91936116		1972.49292493	0.88397297	2015.52045640	0.87568956	2029.59610304	0.97896779	2042.45235162		2090.20109430	0.85214432	2104.75720542	0.96741957	2119.36125706	0.96016058	2170.59243246	0.99307783	2185.25487752		2199.73941756		2257.38172452	1.03803970	2273.10552205	0.98591084	2288.04890301	0.97669491	2351.37872877	1.22783647	2367.73414508	0.99460082	2383.28755812		2453.44077748		2470.53534365	1.05683530
