freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.92302160		1959.51592406		1972.43364466		2015.45101508		2029.53384252		2042.90075821		2090.11572622		2104.70818058		2118.56324526		2170.49958796		2185.64401500		2200.02289811		2257.30335973		2273.03141647		2287.98350351		2351.29376621		2367.66332296		2383.22078817		2453.41561249		2470.45748950	
1945.92934760		1959.52196306		1972.43938066		2015.45756308		2029.54009352		2042.90669521		2090.12251122		2104.71465958		2118.56938726		2170.50662796		2185.65073700		2200.02928311		2257.31067473		2273.03840247		2287.99014051		2351.30137921		2367.67059496		2383.22769316		2453.42354949		2470.46506550	
1945.93567260	1.52768891	1959.52800306		1972.44511666		2015.46411108		2029.54634452		2042.91263221		2090.12929622		2104.72113758		2118.57552926		2170.51366796		2185.65745900		2200.03566711		2257.31798873		2273.04538847		2287.99677651		2351.30899322		2367.67786796		2383.23459717		2453.43148649		2470.47264249	
1945.94199760	1.03685911	1959.53404206		1972.45085166	0.93483724	2015.47065808	0.92657964	2029.55259552	0.94229197	2042.91856821		2090.13608122		2104.72761558		2118.58167126		2170.52070796		2185.66418101		2200.04205211		2257.32530373		2273.05237447		2288.00341251		2351.31660621		2367.68513996		2383.24150117		2453.43942449		2470.48021849	
1945.94832260	1.04722228	1959.54008106	1.11430872	1972.45658766	0.92617560	2015.47720608	0.91280776	2029.55884652	0.96118959	2042.92450521	0.96417387	2090.14286522		2104.73409358	0.97396527	2118.58781326		2170.52774795		2185.67090301		2200.04843711		2257.33261773		2273.05936047		2288.01004851		2351.32421922		2367.69241196		2383.24840516		2453.44736149		2470.48779449	
1945.95464760	1.03877679	1959.54612106	1.05614676	1972.46232366	0.92522681	2015.48375308	0.92022175	2029.56509752	0.95672868	2042.93044121	0.99493347	2090.14965022	0.99006738	2104.74057058	0.97280304	2118.59395526		2170.53478696		2185.67762400	0.98262262	2200.05482111		2257.33993173		2273.06634647		2288.01668451		2351.33183221		2367.69968396		2383.25530917		2453.45529749		2470.49537150	
1945.96097260	1.04708344	1959.55216006	1.04918773	1972.46805866	0.94407485	2015.49030008	0.92611047	2029.57134752	0.94726047	2042.93637821	0.97021032	2090.15643422	0.99228351	2104.74704858	0.98137749	2118.60009626	1.00540705	2170.54182696	1.00861893	2185.68434501	0.97213448	2200.06120511		2257.34724573	1.01547717	2273.07333247		2288.02331951		2351.33944522		2367.70695596		2383.26221317		2453.46323449		2470.50294649	
1945.96729660	1.06289958	1959.55819906	1.06680180	1972.47379366	0.93918090	2015.49684708	0.93419709	2029.57759852	0.95473652	2042.94231421	0.98589899	2090.16321822	0.99550373	2104.75352558	0.97070291	2118.60623826	0.99223887	2170.54886596	1.02214170	2185.69106701	0.99307105	2200.06758911	1.01060316	2257.35455973	0.98943656	2273.08031747	1.00422732	2288.02995551		2351.34705821		2367.71422796		2383.26911617		2453.47117049	1.03303052	2470.51052249	
1945.97362160	1.10793536	1959.56423706	1.03372499	1972.47952866	0.93047577	2015.50339408	0.94110418	2029.58384852	0.94400308	2042.94825021	0.97833549	2090.17000222	0.98474748	2104.76000358	0.98186628	2118.61237926	0.98951178	2170.55590496	1.01476681	2185.69778800	0.98737174	2200.07397311	1.00363009	2257.36187373	0.99785011	2273.08730247	1.00169208	2288.03659051	1.01900732	2351.35467022	1.04870439	2367.72149896		2383.27601916		2453.47910749	1.02281776	2470.51809849	
1945.97994560	1.12728929	1959.57027606	1.05633364	1972.48526366	0.94437813	2015.50994108	0.95754248	2029.59009852	0.95182696	2042.95418521	0.98928675	2090.17678622	0.98171972	2104.76648058	0.97568224	2118.61852026	0.99568625	2170.56294395	0.99338477	2185.70450901	0.99104478	2200.08035711	0.99916298	2257.36918673	0.99531433	2273.09428747	1.00607812	2288.04322551	0.99628972	2351.36228321	1.05157052	2367.72877096	1.03704352	2383.28292316		2453.48704349	0.98435012	2470.52567349	
1945.98626960	1.12966337	1959.57631406	1.04831948	1972.49099866	0.94084122	2015.51648808	0.95099110	2029.59634852	0.95524700	2042.96012121	0.97904140	2090.18357022	0.99172772	2104.77295758	0.97460253	2118.62466126	1.00338318	2170.56998295	1.01060752	2185.71122900	0.97884228	2200.08674011	1.00178808	2257.37650073	1.00093569	2273.10127247	1.00398060	2288.04986051	0.98606565	2351.36989521	1.04364059	2367.73604196	1.06255456	2383.28982616		2453.49497949	1.02697209	2470.53324849	1.00548321
1945.99259460	1.14842844	1959.58235306	1.04690476	1972.49673266	0.94811930	2015.52303408	0.96764621	2029.60259852	0.96326028	2042.96605721	0.98694340	2090.19035322	0.98864222	2104.77943458	0.98026765	2118.63080226	1.00230843	2170.57702195	1.01147772	2185.71795001	0.98637033	2200.09312411	0.99985188	2257.38381373	0.99881559	2273.10825747	1.00547960	2288.05649551	1.00421503	2351.37750722	1.04122911	2367.74331296	1.04841431	2383.29672816	0.97669929	2453.50291549	1.01755655	2470.54082350	0.98625880
1945.99891860	1.18499774	1959.58839106	1.02742413	1972.50246766	0.95627334	2015.52958108	0.97922938	2029.60884852	0.97088490	2042.97199221	0.97528376	2090.19713722	0.99679691	2104.78591158	0.97744633	2118.63694226	0.98718506	2170.58406096	1.00804948	2185.72467001	0.98685828	2200.09950711	1.00417542	2257.39112673	0.99014332	2273.11524247	0.99477943	2288.06313051	1.01412059	2351.38511922	1.02603112	2367.75058396	1.07543343	2383.30363116	0.96177741	2453.51085149	1.03115431	2470.54839850	1.00864569
1946.00524260	1.17172644	1959.59442906	1.04468254	1972.50820166	0.95707782	2015.53612708	0.97716259	2029.61509752	0.96894602	2042.97792721	0.97056607	2090.20392022	0.99449042	2104.79238758	0.97851899	2118.64308326	0.97918069	2170.59109895	1.00959899	2185.73139101	0.98940736	2200.10589011	1.00233265	2257.39843973	0.98519527	2273.12222647	0.99986164	2288.06976451	0.98879232	2351.39273121	1.01745698	2367.75785496	1.04247077	2383.31053316	0.98081227	2453.51878649	1.01514477	2470.55597350	0.95904261
1946.01156560	1.16593039	1959.60046706	1.02820310	1972.51393566	0.95646587	2015.54267308	0.99393076	2029.62134752	0.96492929	2042.98386221	0.97514859	2090.21070322	0.98851188	2104.79886458	0.97477307	2118.64922326	0.98156106	2170.59813795	1.01079022	2185.73811101	0.97981915	2200.11227311	0.99003529	2257.40575273	0.99507140	2273.12921047	1.00936916	2288.07639851	1.00422915	2351.40034321	1.02600790	2367.76512496	1.04046952	2383.31743616	0.96626242	2453.52672249	1.01556107	2470.56354849	1.02426580
1946.01788960	1.16169423	1959.60650506	1.04083304	1972.51967066	0.95552253	2015.54921908	1.01146565	2029.62759652	0.96868240	2042.98979721	0.97619618	2090.21748622	0.98157109	2104.80534058	0.98079019	2118.65536326	0.98491669	2170.60517596	1.00171756	2185.74483100	0.98676436	2200.11865611	0.99873549	2257.41306573	0.99065593	2273.13619547	0.99645249	2288.08303351	1.00858876	2351.40795421	1.01349016	2367.77239596	1.03573566	2383.32433816	0.96327812	2453.53465749	1.02045737	2470.57112250	1.00543477
