freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.91798634		1959.51743122		1972.43165860		2015.44669336		2029.52967256		2042.89936723		2090.11694251		2104.70818058		2118.57035189		2170.50006976		2185.64469477		2200.02047878		2257.30297532		2273.03346068		2287.98302779		2351.29365278		2367.65733157		2383.22078817		2453.41555402		2470.45748950	
1945.92431234		1959.52347022		1972.43739460		2015.45324036		2029.53592356		2042.90530323		2090.12372751		2104.71465958		2118.57649189		2170.50710876		2185.65140177		2200.02686278		2257.31028932		2273.04044668		2287.98966379		2351.30126578		2367.66460457		2383.22769316		2453.42349102		2470.46506550	
1945.93063734		1959.52950922		1972.44313060		2015.45978736		2029.54217556		2042.91124023		2090.13051251		2104.72113758		2118.58263089		2170.51414676		2185.65810877		2200.03324678		2257.31760332		2273.04743268		2287.99629979		2351.30887878		2367.67187657		2383.23459717		2453.43142702		2470.47264249	
1945.93696234	1.50031035	1959.53554822		1972.44886560		2015.46633436		2029.54842656		2042.91717623		2090.13729651		2104.72761558		2118.58876989		2170.52118576		2185.66481677		2200.03963178		2257.32491732		2273.05441868		2288.00293579		2351.31649078		2367.67914957		2383.24150117		2453.43936302		2470.48021849	
1945.94328834	0.96191452	1959.54158722	1.06529229	1972.45460160	0.90745464	2015.47288136	0.90841841	2029.55467756	0.97963916	2042.92311323	0.98394755	2090.14408151	1.01756908	2104.73409358	0.95739363	2118.59490889	0.99826905	2170.52822376		2185.67152377		2200.04601578		2257.33223032		2273.06140468		2288.00957079		2351.32410378		2367.68642157		2383.24840516		2453.44729902		2470.48779449	
1945.94961334	0.97753716	1959.54762522	1.07183898	1972.46033660	0.91237392	2015.47942836	0.92077775	2029.56092856	0.97848200	2042.92904923	0.98143426	2090.15086551	0.98341989	2104.74057058	0.96867174	2118.60104789	0.99742264	2170.53526176		2185.67822977	0.98122993	2200.05239878		2257.33954332		2273.06839068		2288.01620579		2351.33171678		2367.69369357		2383.25530917		2453.45523502		2470.49537150	
1945.95593734	0.98396045	1959.55366422	1.05840534	1972.46607160	0.92341100	2015.48597436	0.92830703	2029.56717856	0.97546921	2042.93498523	0.98027635	2090.15765051	0.98202821	2104.74704858	0.97076667	2118.60718689	0.99069108	2170.54229976	1.01346369	2185.68493677	0.99052512	2200.05878278		2257.34685632	1.00996389	2273.07537568		2288.02284179		2351.33932878		2367.70096557		2383.26221317		2453.46317102		2470.50294649	
1945.96226234	1.00771455	1959.55970222	1.05840026	1972.47180660	0.92667748	2015.49252136	0.93561007	2029.57342956	0.97624072	2042.94092023	0.97973638	2090.16443451	0.98602729	2104.75352558	0.96860221	2118.61332589	0.99273441	2170.54933776	1.01004588	2185.69164377	0.99042876	2200.06516678		2257.35416932	0.99911313	2273.08236168	0.99984163	2288.02947679		2351.34694078		2367.70823757		2383.26911617		2453.47110602	1.00686614	2470.51052249	
1945.96858734	1.02189026	1959.56574022	1.05173015	1972.47754160	0.92974135	2015.49906736	0.93807480	2029.57967956	0.97744681	2042.94685623	0.98235650	2090.17121851	0.98429522	2104.76000358	0.97217366	2118.61946389	0.99444794	2170.55637576	1.00792037	2185.69834977	0.99085682	2200.07154978	1.00525411	2257.36148232	0.99194840	2273.08934668	0.99984114	2288.03611179	1.00598669	2351.35455278	1.05661798	2367.71550957		2383.27601916		2453.47904202	1.00376617	2470.51809849	
1945.97491134	1.04677192	1959.57177822	1.05400698	1972.48327660	0.93345565	2015.50561336	0.94724390	2029.58593056	0.97177647	2042.95279223	0.98336919	2090.17800251	0.98670938	2104.76648058	0.97380048	2118.62560189	0.99549058	2170.56341376	1.01119415	2185.70505577	0.99402013	2200.07793278	1.00880946	2257.36879532	0.99983169	2273.09633168	0.99645750	2288.04274579	0.99174303	2351.36216478	1.04575016	2367.72278057		2383.28292316		2453.48697702	0.99978184	2470.52567349	
