freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.92130586		1959.52699280		1972.43242355		2015.45157684		2029.54340271		2042.94644781	0.95502962	2090.11994080		2104.70989241		2118.58140376		2170.51710657		2185.65954999		2200.03542209		2257.30204618		2273.03355283		2287.98100035		2351.29301763		2367.65712750		2383.22437064		2453.46200224		2470.45280177	
1945.92763086		1959.53303180		1972.43815955		2015.45812484		2029.54965071		2042.95238281	0.95476482	2090.12672480		2104.71637041		2118.58754276		2170.52414557		2185.66625699		2200.04180609		2257.30936118		2273.04053883		2287.98763635		2351.30063063		2367.66439950		2383.23127464		2453.46993724	0.96508859	2470.46038177	
1945.93395586	1.36878360	1959.53907080	1.35997771	1972.44389455		2015.46467184		2029.55589871	0.90557017	2042.95831881	0.95401727	2090.13350980		2104.72284841		2118.59368076	1.03861144	2170.53118457		2185.67296299		2200.04819009		2257.31667618		2273.04752383		2287.99427235		2351.30824463		2367.67167250		2383.23817864		2453.47787224	1.08228747	2470.46796177	
1945.94028086	1.40832552	1959.54510880	1.28556073	1972.44963055	3.83759446	2015.47121984	0.88809701	2029.56214671	0.91022613	2042.96425381	0.95609848	2090.14029380		2104.72932641		2118.59981876	0.97785682	2170.53822357	1.01578428	2185.67966999	0.98162416	2200.05457309		2257.32399018		2273.05450983		2288.00090835		2351.31585763		2367.67894450		2383.24508364		2453.48580724	0.98698556	2470.47554077	
1945.94660586	1.07113197	1959.55114680	1.25459803	1972.45536555	0.82415824	2015.47776684	0.92227430	2029.56839371	0.91252557	2042.97018881	0.97785205	2090.14707780	0.98138906	2104.73580441	0.90322180	2118.60595676	0.97656865	2170.54526257	1.00316535	2185.68637599	0.98592686	2200.06095609		2257.33130418		2273.06149483		2288.00754435		2351.32347063		2367.68621650		2383.25198764		2453.49374224	0.97467953	2470.48312077	
1945.95292986	1.07746172	1959.55718580	1.23450996	1972.46110055	0.82540167	2015.48431384	0.92540111	2029.57464171	0.91668204	2042.97612281	0.97848046	2090.15386180	0.98278388	2104.74228241	0.90815521	2118.61209476	0.97605860	2170.55230057	1.00655995	2185.69308199	0.98891613	2200.06734009	1.00504608	2257.33861818		2273.06848083		2288.01418035		2351.33108363		2367.69348850		2383.25889064		2453.50167624	0.97656920	2470.49069977	
1945.95925486	1.08344089	1959.56322380	1.22083455	1972.46683555	0.83116664	2015.49086084	0.93236459	2029.58088871	0.91482219	2042.98205781	0.97877148	2090.16064580	0.98412815	2104.74875941	0.91398809	2118.61823276	0.97111261	2170.55933857	1.00781050	2185.69978799	0.98785489	2200.07372309	1.00461465	2257.34593218	1.02281583	2273.07546583		2288.02081535		2351.33869663		2367.70076050		2383.26579464		2453.50961024	0.98753333	2470.49827877	
1945.96557886	1.09461332	1959.56926180	1.20686607	1972.47257055	0.83912662	2015.49740684	0.94032673	2029.58713671	0.91579370	2042.98799181	0.97662395	2090.16742980	0.98217037	2104.75523741	0.91941070	2118.62437076	0.96354801	2170.56637757	1.00815764	2185.70649399	0.98494878	2200.08010509	1.00617395	2257.35324618	1.01676080	2273.08245083	1.00158099	2288.02745135		2351.34630963		2367.70803250		2383.27269864		2453.51754424	0.98033059	2470.50585777	
1945.97190286	1.10042761	1959.57529880	1.19106573	1972.47830555	0.84806662	2015.50395384	0.93945851	2029.59338371	0.91358248	2042.99392681	0.96872562	2090.17421380	0.98028251	2104.76171441	0.92107493	2118.63050776	0.96828967	2170.57341557	1.00514470	2185.71319899	0.99561823	2200.08648809	1.00620114	2257.36056018	1.01424473	2273.08943483	1.00792084	2288.03408635		2351.35392163	1.04304498	2367.71530450		2383.27960164		2453.52547824	0.97537825	2470.51343677	
1945.97822686	1.10899877	1959.58133680	1.17903630	1972.48404055	0.85604607	2015.51049984	0.94589017	2029.59963071	0.91859921	2042.99986081	0.97493195	2090.18099680	0.98378418	2104.76819141	0.92736707	2118.63664476	0.96466320	2170.58045257	1.00335757	2185.71990499	0.99499043	2200.09287109	1.00596199	2257.36787318	1.01886635	2273.09641983	1.00571964	2288.04072135	0.98859900	2351.36153463	1.09576230	2367.72257550	1.18824923	2383.28650464		2453.53341224	0.97114887	2470.52101577	
